,_id,AvgDuration,StdDuration
0,"{'year': {'year': 'init_date'}, 'day': 1}",5498.877330716388,65020.88827118379
1,"{'year': {'year': 'init_date'}, 'day': 2}",4261.153708668454,62693.026126063014
2,"{'year': {'year': 'init_date'}, 'day': 3}",2965.5951184493897,19697.25172221285
3,"{'year': {'year': 'init_date'}, 'day': 4}",3355.393568147014,21981.279305777698
4,"{'year': {'year': 'init_date'}, 'day': 5}",3776.824,20468.738733544742
5,"{'year': {'year': 'init_date'}, 'day': 6}",4144.04769874477,21363.987786126407
6,"{'year': {'year': 'init_date'}, 'day': 7}",3935.6746602717826,16225.840044113578
7,"{'year': {'year': 'init_date'}, 'day': 8}",2444.633270321361,7098.837594905425
8,"{'year': {'year': 'init_date'}, 'day': 9}",3289.3972142170987,21918.97520086535
9,"{'year': {'year': 'init_date'}, 'day': 10}",4928.553041729512,43539.35923559716
10,"{'year': {'year': 'init_date'}, 'day': 11}",2623.5053929121727,7198.372193032705
11,"{'year': {'year': 'init_date'}, 'day': 12}",3202.688349514563,15539.16762849185
12,"{'year': {'year': 'init_date'}, 'day': 13}",3975.30692124105,21403.708470965863
13,"{'year': {'year': 'init_date'}, 'day': 14}",3391.0012224938873,14016.71256180781
14,"{'year': {'year': 'init_date'}, 'day': 15}",3560.2663656884874,13811.47060947232
15,"{'year': {'year': 'init_date'}, 'day': 16}",3041.104207436399,10133.758554973136
16,"{'year': {'year': 'init_date'}, 'day': 17}",3190.131528046422,20580.607629408343
17,"{'year': {'year': 'init_date'}, 'day': 18}",3375.6479418886197,18165.29234054491
18,"{'year': {'year': 'init_date'}, 'day': 19}",3544.9688806316767,59340.72773919476
19,"{'year': {'year': 'init_date'}, 'day': 20}",3442.318889970789,17873.724966722533
20,"{'year': {'year': 'init_date'}, 'day': 21}",3272.9355581127734,24604.630571190322
21,"{'year': {'year': 'init_date'}, 'day': 22}",3160.4670391061454,9802.095759021402
22,"{'year': {'year': 'init_date'}, 'day': 23}",3550.5967741935483,20463.402625131468
23,"{'year': {'year': 'init_date'}, 'day': 24}",2400.3598178137654,7786.212298289409
24,"{'year': {'year': 'init_date'}, 'day': 25}",3561.897129186603,28586.871333627914
25,"{'year': {'year': 'init_date'}, 'day': 26}",2544.919574468085,6975.456924492231
26,"{'year': {'year': 'init_date'}, 'day': 27}",3825.245588936576,30034.096046330913
27,"{'year': {'year': 'init_date'}, 'day': 28}",4822.449877750611,45400.90091944883
28,"{'year': {'year': 'init_date'}, 'day': 29}",4248.220042417815,26311.40633957281
29,"{'year': {'year': 'init_date'}, 'day': 30}",2539.383333333333,9305.21693921662
30,"{'year': {'year': 'init_date'}, 'day': 31}",2812.925090909091,12599.625942074917
31,"{'year': {'year': 'init_date'}, 'day': 32}",2966.954954954955,18280.307324573452
32,"{'year': {'year': 'init_date'}, 'day': 33}",2398.978417266187,7009.924112932932
33,"{'year': {'year': 'init_date'}, 'day': 34}",2697.1164241164242,11003.636808882256
34,"{'year': {'year': 'init_date'}, 'day': 35}",3964.054842473746,21437.370945944025
35,"{'year': {'year': 'init_date'}, 'day': 36}",3153.233727810651,12283.803002320135
36,"{'year': {'year': 'init_date'}, 'day': 37}",4290.821138211382,46334.914927172475
37,"{'year': {'year': 'init_date'}, 'day': 38}",2821.6934557979334,9745.261618725117
38,"{'year': {'year': 'init_date'}, 'day': 39}",3789.1888686131388,22706.971609389497
39,"{'year': {'year': 'init_date'}, 'day': 40}",2984.407920792079,13301.628070900604
40,"{'year': {'year': 'init_date'}, 'day': 41}",3524.693023255814,21157.14225545107
41,"{'year': {'year': 'init_date'}, 'day': 42}",4635.336856010568,26120.69198781294
42,"{'year': {'year': 'init_date'}, 'day': 43}",3568.659677419355,13375.612764570036
43,"{'year': {'year': 'init_date'}, 'day': 44}",3630.521126760563,29647.263366146737
44,"{'year': {'year': 'init_date'}, 'day': 45}",2987.89007470651,12218.24951470128
45,"{'year': {'year': 'init_date'}, 'day': 46}",4172.786570743406,28843.988050702636
46,"{'year': {'year': 'init_date'}, 'day': 47}",3456.4290738569753,17185.59563502382
47,"{'year': {'year': 'init_date'}, 'day': 48}",2381.485200845666,9541.688814217892
48,"{'year': {'year': 'init_date'}, 'day': 49}",5451.725333333334,24698.081105797635
49,"{'year': {'year': 'init_date'}, 'day': 50}",3611.725938009788,11835.761009692638
50,"{'year': {'year': 'init_date'}, 'day': 51}",2556.3169014084506,10165.213252162876
51,"{'year': {'year': 'init_date'}, 'day': 52}",2696.2830188679245,9570.479380850504
52,"{'year': {'year': 'init_date'}, 'day': 53}",3607.4352030947775,12513.416602427867
53,"{'year': {'year': 'init_date'}, 'day': 54}",2878.084915084915,8503.118250841535
54,"{'year': {'year': 'init_date'}, 'day': 55}",2414.4170708050437,6080.03162183086
55,"{'year': {'year': 'init_date'}, 'day': 56}",1892.010159651669,2852.9414029494383
56,"{'year': {'year': 'init_date'}, 'day': 117}",2525.913373860182,6053.257810355985
57,"{'year': {'year': 'init_date'}, 'day': 118}",1967.5872291904218,3407.001423987436
58,"{'year': {'year': 'init_date'}, 'day': 119}",2166.3556116015134,5962.00894903261
59,"{'year': {'year': 'init_date'}, 'day': 120}",1495.7479406919276,971.8028664601552
60,"{'year': {'year': 'init_date'}, 'day': 121}",1420.5,741.1214138047827
61,"{'year': {'year': 'init_date'}, 'day': 144}",1508.328,755.7221264565437
62,"{'year': {'year': 'init_date'}, 'day': 145}",2238.9968992248064,6308.098144571054
63,"{'year': {'year': 'init_date'}, 'day': 146}",2625.9662921348313,6056.911155830988
64,"{'year': {'year': 'init_date'}, 'day': 147}",1667.5532846715328,1804.154742463069
65,"{'year': {'year': 'init_date'}, 'day': 151}",2612.492040520984,7576.7671881040205
66,"{'year': {'year': 'init_date'}, 'day': 152}",3245.208695652174,14040.731855303451
67,"{'year': {'year': 'init_date'}, 'day': 153}",3695.792027729636,12547.945327952355
68,"{'year': {'year': 'init_date'}, 'day': 154}",4665.744493392071,19591.227278512408
69,"{'year': {'year': 'init_date'}, 'day': 155}",4423.411564625851,14786.75043381199
70,"{'year': {'year': 'init_date'}, 'day': 156}",2131.5385395537523,4909.223146865044
71,"{'year': {'year': 'init_date'}, 'day': 157}",1722.3612903225805,1732.251611577657
72,"{'year': {'year': 'init_date'}, 'day': 158}",1815.1731066460588,1719.8615453296352
73,"{'year': {'year': 'init_date'}, 'day': 159}",2579.0516962843294,7568.236474994084
74,"{'year': {'year': 'init_date'}, 'day': 160}",2405.1070336391435,6187.4174053949655
75,"{'year': {'year': 'init_date'}, 'day': 161}",1739.729792147806,2892.2216264016824
76,"{'year': {'year': 'init_date'}, 'day': 162}",1451.0113636363637,943.6704149985815
77,"{'year': {'year': 'init_date'}, 'day': 163}",2789.206303724928,8800.476688239496
78,"{'year': {'year': 'init_date'}, 'day': 164}",1887.7207357859531,2231.4892294628767
79,"{'year': {'year': 'init_date'}, 'day': 166}",2952.5706737120213,14463.668438245692
80,"{'year': {'year': 'init_date'}, 'day': 167}",2511.6784015223598,9724.648321237171
