,_id,date,total
0,"{'day': 1, 'hour': 0}",2018-01-28 00:58:52,1400
1,"{'day': 1, 'hour': 1}",2018-01-28 01:56:00,1174
2,"{'day': 1, 'hour': 2}",2018-01-28 02:55:32,853
3,"{'day': 1, 'hour': 3}",2018-01-28 03:53:58,510
4,"{'day': 1, 'hour': 4}",2018-01-28 04:54:02,456
5,"{'day': 1, 'hour': 5}",2018-01-28 05:54:22,373
6,"{'day': 1, 'hour': 6}",2018-01-28 06:52:07,318
7,"{'day': 1, 'hour': 7}",2018-01-28 07:55:06,379
8,"{'day': 1, 'hour': 8}",2018-01-28 08:59:49,591
9,"{'day': 1, 'hour': 9}",2018-01-28 09:59:58,862
10,"{'day': 1, 'hour': 10}",2018-01-28 10:59:01,1113
11,"{'day': 1, 'hour': 11}",2018-01-28 11:58:35,1342
12,"{'day': 1, 'hour': 12}",2018-01-28 12:57:59,1551
13,"{'day': 1, 'hour': 13}",2018-01-28 13:57:43,1260
14,"{'day': 1, 'hour': 14}",2018-01-28 14:59:30,1319
15,"{'day': 1, 'hour': 15}",2018-01-28 15:59:02,1508
16,"{'day': 1, 'hour': 16}",2018-01-28 16:59:46,1576
17,"{'day': 1, 'hour': 17}",2018-01-28 17:58:39,1723
18,"{'day': 1, 'hour': 18}",2018-01-28 18:58:34,1685
19,"{'day': 1, 'hour': 19}",2018-01-28 19:59:12,1729
20,"{'day': 1, 'hour': 20}",2018-01-28 20:58:29,1541
21,"{'day': 1, 'hour': 21}",2018-01-28 21:51:33,1191
22,"{'day': 1, 'hour': 22}",2018-01-28 22:53:28,1212
23,"{'day': 1, 'hour': 23}",2018-01-28 23:54:05,1080
24,"{'day': 2, 'hour': 0}",2018-01-29 00:57:21,780
25,"{'day': 2, 'hour': 1}",2018-01-29 01:53:12,399
26,"{'day': 2, 'hour': 2}",2018-01-29 02:55:00,273
27,"{'day': 2, 'hour': 3}",2018-01-29 03:52:50,171
28,"{'day': 2, 'hour': 4}",2018-01-29 04:56:50,258
29,"{'day': 2, 'hour': 5}",2018-01-29 05:48:03,470
30,"{'day': 2, 'hour': 6}",2018-01-29 06:56:53,718
31,"{'day': 2, 'hour': 7}",2018-01-29 07:59:23,1528
32,"{'day': 2, 'hour': 8}",2018-01-29 08:59:41,2654
33,"{'day': 2, 'hour': 9}",2018-01-29 09:57:45,2090
34,"{'day': 2, 'hour': 10}",2018-01-29 10:59:51,1856
35,"{'day': 2, 'hour': 11}",2018-01-29 11:59:50,1676
36,"{'day': 2, 'hour': 12}",2018-01-29 12:59:44,1915
37,"{'day': 2, 'hour': 13}",2018-01-29 13:56:48,1880
38,"{'day': 2, 'hour': 14}",2018-01-29 14:59:02,2038
39,"{'day': 2, 'hour': 15}",2018-01-29 15:59:24,1960
40,"{'day': 2, 'hour': 16}",2018-01-29 16:59:28,2148
41,"{'day': 2, 'hour': 17}",2018-01-29 17:59:34,2579
42,"{'day': 2, 'hour': 18}",2018-01-29 18:59:52,2656
43,"{'day': 2, 'hour': 19}",2018-01-29 19:59:44,2425
44,"{'day': 2, 'hour': 20}",2018-01-29 20:59:49,1871
45,"{'day': 2, 'hour': 21}",2018-01-29 21:59:50,1444
46,"{'day': 2, 'hour': 22}",2018-01-29 22:59:27,1340
47,"{'day': 2, 'hour': 23}",2018-01-29 23:59:29,1109
48,"{'day': 3, 'hour': 0}",2018-01-30 00:57:06,712
49,"{'day': 3, 'hour': 1}",2018-01-30 01:59:12,347
50,"{'day': 3, 'hour': 2}",2018-01-30 02:41:11,148
51,"{'day': 3, 'hour': 3}",2018-01-30 03:46:07,104
52,"{'day': 3, 'hour': 4}",2018-01-30 04:56:21,185
53,"{'day': 3, 'hour': 5}",2018-01-30 05:49:24,348
